timestep,Site,Classification,abundance
18,Caura d,Insecta Trichoptera Leptoceridae,1160
18,Caura d,Oligochaeta unknown,25
18,Caura d,Turbellaria Turbellaria,103
19,Caura d,Insecta Coleoptera Elmidae,30
19,Caura d,Insecta Coleoptera Psephenidae,1
19,Caura d,Insecta Diptera Chironomidae,6
19,Caura d,Insecta Diptera Simuliidae,3
19,Caura d,Insecta Ephemeroptera Baetidae,11
19,Caura d,Insecta Ephemeroptera Leptophlebiidae,45
19,Caura d,Insecta Ephemeroptera Tricorythidae,55
19,Caura d,Insecta Odonata Coenagrionidae,14
19,Caura d,Insecta Odonata Libellulidae,6
19,Caura d,Insecta Trichoptera Calomoceratidae,1
19,Caura d,Insecta Trichoptera Glossosomatidae,2
19,Caura d,Insecta Trichoptera Helicopsychidae,180
19,Caura d,Insecta Trichoptera Hydropsychidae,2
19,Caura d,Insecta Trichoptera Hydroptilidae,13
19,Caura d,Insecta Trichoptera Leptoceridae,423
19,Caura d,Insecta Trichoptera Philopotamidae,1
19,Caura d,Oligochaeta unknown,17
19,Caura d,Turbellaria Turbellaria,128
1,Caura u,Insecta Coleoptera Elmidae,58
1,Caura u,Insecta Coleoptera Psephenidae,25
1,Caura u,Insecta Diptera Chironomidae,9
1,Caura u,Insecta Diptera Simuliidae,68
1,Caura u,Insecta Diptera Tipulidae,2
1,Caura u,Insecta Ephemeroptera Baetidae,33
1,Caura u,Insecta Ephemeroptera Leptophlebiidae,71
1,Caura u,Insecta Ephemeroptera Tricorythidae,140
1,Caura u,Insecta Odonata Coenagrionidae,12
1,Caura u,Insecta Odonata Gomphidae,2
1,Caura u,Insecta Odonata Libellulidae,20
1,Caura u,Insecta Plecoptera Perlidae,4
1,Caura u,Insecta Trichoptera Glossosomatidae,111
1,Caura u,Insecta Trichoptera Helicopsychidae,5
1,Caura u,Insecta Trichoptera Hydropsychidae,29
1,Caura u,Insecta Trichoptera Leptoceridae,3
1,Caura u,Insecta Trichoptera Philopotamidae,59
1,Caura u,Turbellaria Turbellaria,3
2,Caura u,Insecta Coleoptera Elmidae,13
2,Caura u,Insecta Coleoptera Psephenidae,59
2,Caura u,Insecta Diptera Chironomidae,3
2,Caura u,Insecta Diptera Simuliidae,11
2,Caura u,Insecta Ephemeroptera Baetidae,25
2,Caura u,Insecta Ephemeroptera Euthyplocidae,2
2,Caura u,Insecta Ephemeroptera Leptophlebiidae,27
2,Caura u,Insecta Ephemeroptera Tricorythidae,353
2,Caura u,Insecta Hemiptera Veliidae,3
2,Caura u,Insecta Odonata Calopterygidae,1
2,Caura u,Insecta Odonata Coenagrionidae,21
2,Caura u,Insecta Odonata Libellulidae,31
2,Caura u,Insecta Trichoptera Calomoceratidae,1
2,Caura u,Insecta Trichoptera Glossosomatidae,40
2,Caura u,Insecta Trichoptera Helicopsychidae,62
2,Caura u,Insecta Trichoptera Hydropsychidae,10
2,Caura u,Insecta Trichoptera Hydroptilidae,4
2,Caura u,Insecta Trichoptera Leptoceridae,27
2,Caura u,Insecta Trichoptera Philopotamidae,11
2,Caura u,Turbellaria Turbellaria,6
3,Caura u,Crustacea Decapoda Pseudothelphusidae,1
3,Caura u,Insecta Coleoptera Elmidae,13
3,Caura u,Insecta Coleoptera Psephenidae,30
3,Caura u,Insecta Diptera Chironomidae,4
3,Caura u,Insecta Diptera Simuliidae,12
3,Caura u,Insecta Ephemeroptera Baetidae,10
3,Caura u,Insecta Ephemeroptera Leptophlebiidae,32
3,Caura u,Insecta Ephemeroptera Tricorythidae,21
3,Caura u,Insecta Odonata Calopterygidae,1
3,Caura u,Insecta Odonata Coenagrionidae,8
3,Caura u,Insecta Odonata Libellulidae,10
3,Caura u,Insecta Trichoptera Calomoceratidae,1
3,Caura u,Insecta Trichoptera Glossosomatidae,8
3,Caura u,Insecta Trichoptera Helicopsychidae,30
3,Caura u,Insecta Trichoptera Hydropsychidae,17
3,Caura u,Insecta Trichoptera Leptoceridae,7
3,Caura u,Insecta Trichoptera Philopotamidae,8
3,Caura u,Turbellaria Turbellaria,4
4,Caura u,Insecta Coleoptera Elmidae,18
4,Caura u,Insecta Coleoptera Psephenidae,25
4,Caura u,Insecta Diptera Chironomidae,23
4,Caura u,Insecta Diptera Simuliidae,35
4,Caura u,Insecta Ephemeroptera Baetidae,25
4,Caura u,Insecta Ephemeroptera Leptophlebiidae,40
4,Caura u,Insecta Ephemeroptera Tricorythidae,27
4,Caura u,Insecta Odonata Coenagrionidae,7
4,Caura u,Insecta Odonata Libellulidae,3
4,Caura u,Insecta Trichoptera Glossosomatidae,16
4,Caura u,Insecta Trichoptera Helicopsychidae,2
4,Caura u,Insecta Trichoptera Hydropsychidae,13
4,Caura u,Insecta Trichoptera Leptoceridae,2
4,Caura u,Insecta Trichoptera Philopotamidae,5
5,Caura u,Crustacea Decapoda Pseudothelphusidae,2
5,Caura u,Insecta Coleoptera Elmidae,14
5,Caura u,Insecta Coleoptera Psephenidae,9
5,Caura u,Insecta Coleoptera unknown,1
5,Caura u,Insecta Diptera Chironomidae,4
5,Caura u,Insecta Diptera Simuliidae,8
5,Caura u,Insecta Diptera unknown,1
5,Caura u,Insecta Ephemeroptera Baetidae,17
5,Caura u,Insecta Ephemeroptera Leptophlebiidae,15
5,Caura u,Insecta Ephemeroptera Tricorythidae,15
5,Caura u,Insecta Hemiptera Veliidae,4
5,Caura u,Insecta Odonata Calopterygidae,1
5,Caura u,Insecta Odonata Coenagrionidae,6
5,Caura u,Insecta Odonata Libellulidae,3
5,Caura u,Insecta Plecoptera Perlidae,1
5,Caura u,Insecta Trichoptera Glossosomatidae,7
5,Caura u,Insecta Trichoptera Helicopsychidae,1
5,Caura u,Insecta Trichoptera Hydropsychidae,27
5,Caura u,Insecta Trichoptera Leptoceridae,2
5,Caura u,Insecta Trichoptera Philopotamidae,13
6,Caura u,Insecta Coleoptera Elmidae,30
6,Caura u,Insecta Coleoptera Psephenidae,21
6,Caura u,Insecta Coleoptera unknown,2
6,Caura u,Insecta Diptera Chironomidae,36
6,Caura u,Insecta Diptera Simuliidae,17
6,Caura u,Insecta Diptera unknown,1
6,Caura u,Insecta Ephemeroptera Baetidae,20
6,Caura u,Insecta Ephemeroptera Leptophlebiidae,37
6,Caura u,Insecta Ephemeroptera Tricorythidae,111
6,Caura u,Insecta Hemiptera Veliidae,6
6,Caura u,Insecta Odonata Calopterygidae,4
6,Caura u,Insecta Odonata Coenagrionidae,27
6,Caura u,Insecta Odonata Libellulidae,38
6,Caura u,Insecta Plecoptera Perlidae,3
6,Caura u,Insecta Trichoptera Calomoceratidae,1
6,Caura u,Insecta Trichoptera Glossosomatidae,78
6,Caura u,Insecta Trichoptera Helicopsychidae,4
6,Caura u,Insecta Trichoptera Hydropsychidae,51
6,Caura u,Insecta Trichoptera Hydroptilidae,3
6,Caura u,Insecta Trichoptera Leptoceridae,6
6,Caura u,Insecta Trichoptera Philopotamidae,99
6,Caura u,Turbellaria Turbellaria,4
7,Caura u,Insecta Coleoptera Elmidae,12
7,Caura u,Insecta Coleoptera Psephenidae,36
7,Caura u,Insecta Diptera Chironomidae,11
7,Caura u,Insecta Diptera simuliidae,24
7,Caura u,Insecta Diptera Tipulidae,2
7,Caura u,Insecta Ephemeroptera Baetidae,37
7,Caura u,Insecta Ephemeroptera Euthyplocidae,1
7,Caura u,Insecta Ephemeroptera Leptophlebiidae,31
7,Caura u,Insecta Ephemeroptera Tricorythidae,110
7,Caura u,Insecta Hemiptera Veliidae,2
7,Caura u,Insecta Odonata Calopterygidae,3
7,Caura u,Insecta Odonata Coenagrionidae,21
7,Caura u,Insecta Odonata Libellulidae,36
7,Caura u,Insecta Plecoptera Perlidae,14
7,Caura u,Insecta Trichoptera Calomoceratidae,1
7,Caura u,Insecta Trichoptera Glossosomatidae,57
7,Caura u,Insecta Trichoptera Helicopsychidae,13
7,Caura u,Insecta Trichoptera Hydropsychidae,30
7,Caura u,Insecta Trichoptera Hydroptilidae,7
7,Caura u,Insecta Trichoptera Leptoceridae,14
7,Caura u,Insecta Trichoptera Philopotamidae,8
7,Caura u,Insecta unknown,1
7,Caura u,Turbellaria Turbellaria,1
8,Caura u,Insecta Coleoptera Elmidae,12
8,Caura u,Insecta Coleoptera Psephenidae,16
8,Caura u,Insecta Diptera Chironomidae,3
8,Caura u,Insecta Diptera Simuliidae,12
8,Caura u,Insecta Ephemeroptera Baetidae,1
8,Caura u,Insecta Ephemeroptera Leptophlebiidae,5
8,Caura u,Insecta Ephemeroptera Tricorythidae,16
8,Caura u,Insecta Odonata Coenagrionidae,3
8,Caura u,Insecta Odonata Libellulidae,8
8,Caura u,Insecta Plecoptera Perlidae,1
8,Caura u,Insecta Trichoptera Glossosomatidae,7
8,Caura u,Insecta Trichoptera Hydropsychidae,7
8,Caura u,Insecta Trichoptera Philopotamidae,5
8,Caura u,Turbellaria Turbellaria,1
9,Caura u,Crustacea Decapoda Pseudothelphusidae,2
9,Caura u,Insecta Coleoptera Elmidae,101
9,Caura u,Insecta Coleoptera Psephenidae,34
9,Caura u,Insecta Diptera Chironomidae,6
9,Caura u,Insecta Diptera Simuliidae,31
9,Caura u,Insecta Ephemeroptera Baetidae,66
9,Caura u,Insecta Ephemeroptera Euthyplocidae,1
9,Caura u,Insecta Ephemeroptera Leptophlebiidae,49
9,Caura u,Insecta Ephemeroptera Tricorythidae,117
9,Caura u,Insecta Hemiptera Veliidae,2
9,Caura u,Insecta Odonata Coenagrionidae,24
9,Caura u,Insecta Odonata Libellulidae,34
9,Caura u,Insecta Plecoptera Perlidae,2
9,Caura u,Insecta Trichoptera Glossosomatidae,385
9,Caura u,Insecta Trichoptera Helicopsychidae,1
9,Caura u,Insecta Trichoptera Hydropsychidae,27
9,Caura u,Insecta Trichoptera Leptoceridae,6
9,Caura u,Insecta Trichoptera Philopotamidae,10
9,Caura u,Turbellaria Turbellaria,5
10,Caura u,Insecta Coleoptera Elmidae,57
10,Caura u,Insecta Coleoptera Psephenidae,78
10,Caura u,Insecta Diptera Chironomidae,13
10,Caura u,Insecta Diptera Simuliidae,15
10,Caura u,Insecta Diptera Tipulidae,1
10,Caura u,Insecta Ephemeroptera Baetidae,12
10,Caura u,Insecta Ephemeroptera Euthyplocidae,1
10,Caura u,Insecta Ephemeroptera Leptophlebiidae,78
10,Caura u,Insecta Ephemeroptera Tricorythidae,133
10,Caura u,Insecta Hemiptera Veliidae,6
10,Caura u,Insecta Odonata Calopterygidae,1
10,Caura u,Insecta Odonata Coenagrionidae,61
10,Caura u,Insecta Odonata Gomphidae,1
10,Caura u,Insecta Odonata Libellulidae,73
10,Caura u,Insecta Plecoptera Perlidae,5
10,Caura u,Insecta Trichoptera Calomoceratidae,1
10,Caura u,Insecta Trichoptera Glossosomatidae,195
10,Caura u,Insecta Trichoptera Helicopsychidae,93
10,Caura u,Insecta Trichoptera Hydropsychidae,31
10,Caura u,Insecta Trichoptera Hydroptilidae,7
10,Caura u,Insecta Trichoptera Leptoceridae,122
10,Caura u,Insecta Trichoptera Philopotamidae,25
10,Caura u,Oligochaeta unknown,2
10,Caura u,Turbellaria Turbellaria,8
11,Caura u,Insecta Coleoptera Elmidae,37
11,Caura u,Insecta Coleoptera Psephenidae,2
11,Caura u,Insecta Diptera Chironomidae,16
11,Caura u,Insecta Diptera Simuliidae,1
11,Caura u,Insecta Ephemeroptera Baetidae,17
11,Caura u,Insecta Ephemeroptera Leptophlebiidae,11
11,Caura u,Insecta Ephemeroptera Tricorythidae,36
11,Caura u,Insecta Hemiptera Veliidae,5
11,Caura u,Insecta Odonata Calopterygidae,1
11,Caura u,Insecta Odonata Coenagrionidae,6
11,Caura u,Insecta Odonata Gomphidae,1
11,Caura u,Insecta Odonata Libellulidae,36
11,Caura u,Insecta Trichoptera Glossosomatidae,96
11,Caura u,Insecta Trichoptera Helicopsychidae,16
11,Caura u,Insecta Trichoptera Hydropsychidae,13
11,Caura u,Insecta Trichoptera Hydroptilidae,4
11,Caura u,Insecta Trichoptera Leptoceridae,20
11,Caura u,Insecta Trichoptera Philopotamidae,2
11,Caura u,Oligochaeta unknown,2
11,Caura u,Turbellaria Turbellaria,10
12,Caura u,Insecta Coleoptera Elmidae,40
12,Caura u,Insecta Coleoptera Psephenidae,37
12,Caura u,Insecta Diptera Chironomidae,22
12,Caura u,Insecta Diptera Simuliidae,11
12,Caura u,Insecta Ephemeroptera Baetidae,153
12,Caura u,Insecta Ephemeroptera Euthyplocidae,1
12,Caura u,Insecta Ephemeroptera Leptophlebiidae,26
12,Caura u,Insecta Ephemeroptera Tricorythidae,80
12,Caura u,Insecta Hemiptera Veliidae,4
12,Caura u,Insecta Odonata Calopterygidae,2
12,Caura u,Insecta Odonata Coenagrionidae,41
12,Caura u,Insecta Odonata Libellulidae,97
12,Caura u,Insecta Plecoptera Perlidae,3
12,Caura u,Insecta Trichoptera Calomoceratidae,1
12,Caura u,Insecta Trichoptera Glossosomatidae,28
12,Caura u,Insecta Trichoptera Helicopsychidae,1
12,Caura u,Insecta Trichoptera Hydropsychidae,17
12,Caura u,Insecta Trichoptera Hydroptilidae,2
12,Caura u,Insecta Trichoptera Leptoceridae,2
12,Caura u,Insecta Trichoptera Philopotamidae,9
12,Caura u,Turbellaria Turbellaria,6
13,Caura u,Insecta Coleoptera Elmidae,47
13,Caura u,Insecta Coleoptera Psephenidae,35
13,Caura u,Insecta Diptera Chironomidae,5
13,Caura u,Insecta Diptera Simuliidae,9
13,Caura u,Insecta Diptera Tipulidae,5
13,Caura u,Insecta Ephemeroptera Baetidae,102
13,Caura u,Insecta Ephemeroptera Leptophlebiidae,44
13,Caura u,Insecta Ephemeroptera Tricorythidae,50
13,Caura u,Insecta Hemiptera Veliidae,1
13,Caura u,Insecta Lepidoptera unknown,1
13,Caura u,Insecta Odonata Calopterygidae,2
13,Caura u,Insecta Odonata Coenagrionidae,27
13,Caura u,Insecta Odonata Libellulidae,9
13,Caura u,Insecta Plecoptera Perlidae,4
13,Caura u,Insecta Trichoptera Glossosomatidae,27
13,Caura u,Insecta Trichoptera Helicopsychidae,9
13,Caura u,Insecta Trichoptera Hydropsychidae,31
13,Caura u,Insecta Trichoptera Leptoceridae,10
13,Caura u,Insecta Trichoptera Philopotamidae,8
13,Caura u,Oligochaeta unknown,9
13,Caura u,Turbellaria Turbellaria,11
14,Caura u,Entognatha Collembola unknown,1
14,Caura u,Insecta Coleoptera Elmidae,37
14,Caura u,Insecta Coleoptera Psephenidae,281
14,Caura u,Insecta Coleoptera unknown,1
14,Caura u,Insecta Diptera Chironomidae,22
14,Caura u,Insecta Diptera Simuliidae,4
14,Caura u,Insecta Diptera Tipulidae,5
14,Caura u,Insecta Ephemeroptera Baetidae,19
14,Caura u,Insecta Ephemeroptera Leptophlebiidae,58
14,Caura u,Insecta Ephemeroptera Tricorythidae,47
14,Caura u,Insecta Hemiptera Veliidae,8
14,Caura u,Insecta Odonata Calopterygidae,4
14,Caura u,Insecta Odonata Coenagrionidae,34
14,Caura u,Insecta Odonata Libellulidae,33
14,Caura u,Insecta Plecoptera Perlidae,1
14,Caura u,Insecta Trichoptera Glossosomatidae,78
14,Caura u,Insecta Trichoptera Helicopsychidae,248
14,Caura u,Insecta Trichoptera Hydropsychidae,22
14,Caura u,Insecta Trichoptera Hydroptilidae,37
14,Caura u,Insecta Trichoptera Leptoceridae,81
14,Caura u,Insecta Trichoptera Philopotamidae,5
14,Caura u,Oligochaeta unknown,12
14,Caura u,Turbellaria Turbellaria,13
15,Caura u,Entognatha Collembola unknown,1
15,Caura u,Insecta Coleoptera Elmidae,17
15,Caura u,Insecta Coleoptera Psephenidae,5
15,Caura u,Insecta Diptera Chironomidae,18
15,Caura u,Insecta Diptera Simuliidae,4
15,Caura u,Insecta Diptera Tipulidae,1
15,Caura u,Insecta Ephemeroptera Baetidae,2
15,Caura u,Insecta Ephemeroptera Leptophlebiidae,5
15,Caura u,Insecta Ephemeroptera Tricorythidae,31
15,Caura u,Insecta Hemiptera Veliidae,1
15,Caura u,Insecta Odonata Coenagrionidae,16
15,Caura u,Insecta Odonata Libellulidae,6
15,Caura u,Insecta Trichoptera Helicopsychidae,20
15,Caura u,Insecta Trichoptera Hydropsychidae,7
15,Caura u,Insecta Trichoptera Hydroptilidae,1
15,Caura u,Insecta Trichoptera Leptoceridae,13
15,Caura u,Insecta Trichoptera Philopotamidae,15
15,Caura u,Turbellaria Turbellaria,4
16,Caura u,Insecta Coleoptera Elmidae,23
16,Caura u,Insecta Coleoptera Psephenidae,13
16,Caura u,Insecta Diptera Chironomidae,26
16,Caura u,Insecta Diptera Tipulidae,1
16,Caura u,Insecta Ephemeroptera Baetidae,6
16,Caura u,Insecta Ephemeroptera Leptophlebiidae,21
16,Caura u,Insecta Ephemeroptera Tricorythidae,62
16,Caura u,Insecta Hemiptera Veliidae,1
16,Caura u,Insecta Odonata Coenagrionidae,26
16,Caura u,Insecta Odonata Libellulidae,9
16,Caura u,Insecta Trichoptera Glossosomatidae,2
16,Caura u,Insecta Trichoptera Helicopsychidae,20
16,Caura u,Insecta Trichoptera Hydropsychidae,4
16,Caura u,Insecta Trichoptera Leptoceridae,18
16,Caura u,Insecta Trichoptera Philopotamidae,1
16,Caura u,Oligochaeta unknown,5
16,Caura u,Turbellaria Turbellaria,8
17,Caura u,Insecta Coleoptera Elmidae,35
17,Caura u,Insecta Coleoptera Psephenidae,59
17,Caura u,Insecta Diptera Chironomidae,30
17,Caura u,Insecta Diptera Simuliidae,1
17,Caura u,Insecta Ephemeroptera Baetidae,53
17,Caura u,Insecta Ephemeroptera Leptophlebiidae,44
17,Caura u,Insecta Ephemeroptera Tricorythidae,143
17,Caura u,Insecta Hemiptera Veliidae,2
17,Caura u,Insecta Lepidoptera unknown,1
17,Caura u,Insecta Odonata Coenagrionidae,37
17,Caura u,Insecta Odonata Gomphidae,1
17,Caura u,Insecta Odonata Libellulidae,46
17,Caura u,Insecta Plecoptera Perlidae,2
17,Caura u,Insecta Trichoptera Glossosomatidae,109
17,Caura u,Insecta Trichoptera Helicopsychidae,42
17,Caura u,Insecta Trichoptera Hydropsychidae,36
17,Caura u,Insecta Trichoptera Hydroptilidae,2
17,Caura u,Insecta Trichoptera Leptoceridae,33
17,Caura u,Insecta Trichoptera Philopotamidae,29
17,Caura u,Oligochaeta unknown,8
17,Caura u,Turbellaria Turbellaria,31
18,Caura u,Crustacea Decapoda Pseudothelphusidae,1
18,Caura u,Entognatha Collembola unknown,1
18,Caura u,Insecta Coleoptera Elmidae,7
18,Caura u,Insecta Coleoptera Psephenidae,114
18,Caura u,Insecta Diptera Chironomidae,33
18,Caura u,Insecta Diptera Simuliidae,3
18,Caura u,Insecta Ephemeroptera Baetidae,43
18,Caura u,Insecta Ephemeroptera Leptophlebiidae,70
18,Caura u,Insecta Ephemeroptera Tricorythidae,154
18,Caura u,Insecta Hemiptera Veliidae,4
18,Caura u,Insecta Odonata Calopterygidae,3
18,Caura u,Insecta Odonata Coenagrionidae,36
18,Caura u,Insecta Odonata Libellulidae,42
18,Caura u,Insecta Plecoptera Perlidae,5
18,Caura u,Insecta Trichoptera Calomoceratidae,5
18,Caura u,Insecta Trichoptera Glossosomatidae,51
18,Caura u,Insecta Trichoptera Helicopsychidae,123
18,Caura u,Insecta Trichoptera Hydropsychidae,44
18,Caura u,Insecta Trichoptera Hydroptilidae,28
18,Caura u,Insecta Trichoptera Leptoceridae,86
18,Caura u,Insecta Trichoptera Philopotamidae,31
18,Caura u,Oligochaeta unknown,5
18,Caura u,Turbellaria Turbellaria,21
19,Caura u,Crustacea Decapoda Pseudothelphusidae,1
19,Caura u,Insecta Coleoptera Elmidae,30
19,Caura u,Insecta Coleoptera Psephenidae,54
19,Caura u,Insecta Diptera Chironomidae,27
19,Caura u,Insecta Diptera Simuliidae,49
19,Caura u,Insecta Ephemeroptera Baetidae,6
19,Caura u,Insecta Ephemeroptera Leptophlebiidae,51
19,Caura u,Insecta Ephemeroptera Tricorythidae,111
19,Caura u,Insecta Hemiptera Veliidae,6
19,Caura u,Insecta Odonata Calopterygidae,4
19,Caura u,Insecta Odonata Coenagrionidae,43
19,Caura u,Insecta Odonata Libellulidae,94
19,Caura u,Insecta Plecoptera Perlidae,5
19,Caura u,Insecta Trichoptera Glossosomatidae,1
19,Caura u,Insecta Trichoptera Helicopsychidae,140
19,Caura u,Insecta Trichoptera Hydropsychidae,51
19,Caura u,Insecta Trichoptera Hydroptilidae,3
19,Caura u,Insecta Trichoptera Leptoceridae,143
19,Caura u,Insecta Trichoptera Philopotamidae,68
19,Caura u,Oligochaeta unknown,7
19,Caura u,Turbellaria Turbellaria,23
1,Lopinot d,Crustacea Decapoda Pseudothelphusidae,1
1,Lopinot d,Insecta Coleoptera Elmidae,17
1,Lopinot d,Insecta Coleoptera Psephenidae,15
1,Lopinot d,Insecta Diptera Chironomidae,15
1,Lopinot d,Insecta Diptera Simuliidae,71
1,Lopinot d,Insecta Ephemeroptera Baetidae,21
1,Lopinot d,Insecta Ephemeroptera Leptophlebiidae,28
1,Lopinot d,Insecta Ephemeroptera Tricorythidae,134
1,Lopinot d,Insecta Hemiptera Veliidae,1
1,Lopinot d,Insecta Odonata Coenagrionidae,7
1,Lopinot d,Insecta odonata Libellulidae,28
1,Lopinot d,Insecta Plecoptera Perlidae,10
1,Lopinot d,Insecta Trichoptera Glossosomatidae,208
1,Lopinot d,Insecta Trichoptera Helicopsychidae,4
1,Lopinot d,Insecta Trichoptera Hydropsychidae,50
1,Lopinot d,Insecta Trichoptera Leptoceridae,3
1,Lopinot d,Insecta Trichoptera Philopotamidae,12
1,Lopinot d,Turbellaria Turbellaria,9
2,Lopinot d,Insecta Coleoptera Elmidae,13
2,Lopinot d,Insecta Coleoptera Psephenidae,36
2,Lopinot d,Insecta Coleoptera unknown,1
2,Lopinot d,Insecta Diptera Chironomidae,223
2,Lopinot d,Insecta Diptera Simuliidae,79
2,Lopinot d,Insecta Diptera Tipulidae,1
2,Lopinot d,Insecta Ephemeroptera Baetidae,40
2,Lopinot d,Insecta Ephemeroptera Leptophlebiidae,47
2,Lopinot d,Insecta Ephemeroptera Tricorythidae,318
2,Lopinot d,Insecta Hemiptera Veliidae,3
2,Lopinot d,Insecta Lepidoptera unknown,2
2,Lopinot d,Insecta Odonata Coenagrionidae,26
2,Lopinot d,Insecta Odonata Gomphidae,2
2,Lopinot d,Insecta Odonata Libellulidae,56
2,Lopinot d,Insecta Plecoptera Perlidae,19
2,Lopinot d,Insecta Trichoptera Calomoceratidae,2
2,Lopinot d,Insecta Trichoptera Glossosomatidae,141
2,Lopinot d,Insecta Trichoptera Helicopsychidae,14
2,Lopinot d,Insecta Trichoptera Hydropsychidae,46
2,Lopinot d,Insecta Trichoptera Hydroptilidae,47
2,Lopinot d,Insecta Trichoptera Leptoceridae,28
2,Lopinot d,Insecta Trichoptera Philopotamidae,33
2,Lopinot d,Turbellaria Turbellaria,8
3,Lopinot d,Insecta Coleoptera Elmidae,14
3,Lopinot d,Insecta Coleoptera Psephenidae,7
3,Lopinot d,Insecta Diptera Chironomidae,22
3,Lopinot d,Insecta Diptera Simuliidae,54
3,Lopinot d,Insecta Ephemeroptera Baetidae,72
3,Lopinot d,Insecta Ephemeroptera Leptophlebiidae,21
3,Lopinot d,Insecta Ephemeroptera Tricorythidae,223
3,Lopinot d,Insecta Hemiptera Veliidae,1
3,Lopinot d,Insecta Lepidoptera unknown,1
3,Lopinot d,Insecta Odonata Calopterygidae,1
3,Lopinot d,Insecta Odonata Coenagrionidae,23
3,Lopinot d,Insecta Odonata Libellulidae,24
3,Lopinot d,Insecta Plecoptera Perlidae,3
3,Lopinot d,Insecta Trichoptera Calomoceratidae,1
3,Lopinot d,Insecta Trichoptera Glossosomatidae,59
3,Lopinot d,Insecta Trichoptera Helicopsychidae,68
3,Lopinot d,Insecta Trichoptera Hydropsychidae,23
3,Lopinot d,Insecta Trichoptera Hydroptilidae,2
3,Lopinot d,Insecta Trichoptera Leptoceridae,5
3,Lopinot d,Insecta Trichoptera Philopotamidae,5
3,Lopinot d,Oligochaeta unknown,7
3,Lopinot d,Turbellaria Turbellaria,7
4,Lopinot d,Insecta Coleoptera Elmidae,21
4,Lopinot d,Insecta Coleoptera Psephenidae,17
4,Lopinot d,Insecta Coleoptera unknown,1
4,Lopinot d,Insecta Diptera Chironomidae,9
4,Lopinot d,Insecta Diptera Simuliidae,19
4,Lopinot d,Insecta Ephemeroptera Baetidae,44
4,Lopinot d,Insecta Ephemeroptera Euthyplocidae,3
4,Lopinot d,Insecta Ephemeroptera Leptophlebiidae,2
4,Lopinot d,Insecta Ephemeroptera Tricorythidae,43
4,Lopinot d,Insecta Odonata Calopterygidae,1
4,Lopinot d,Insecta Odonata Coenagrionidae,5
4,Lopinot d,Insecta Odonata Libellulidae,20
4,Lopinot d,Insecta Plecoptera Perlidae,2
4,Lopinot d,Insecta Trichoptera Glossosomatidae,5
4,Lopinot d,Insecta Trichoptera Helicopsychidae,1
4,Lopinot d,Insecta Trichoptera Hydropsychidae,10
4,Lopinot d,Insecta Trichoptera Philopotamidae,17
4,Lopinot d,Oligochaeta unknown,1
5,Lopinot d,Crustacea Decapoda Pseudothelphusidae,2
5,Lopinot d,Insecta Coleoptera Elmidae,54
5,Lopinot d,Insecta Coleoptera Psephenidae,27
5,Lopinot d,Insecta Coleoptera unknown,1
5,Lopinot d,Insecta Diptera Chironomidae,232
5,Lopinot d,Insecta Diptera Simuliidae,65
5,Lopinot d,Insecta Ephemeroptera Baetidae,114
5,Lopinot d,Insecta Ephemeroptera Leptophlebiidae,18
5,Lopinot d,Insecta Ephemeroptera Tricorythidae,228
5,Lopinot d,Insecta Hemiptera Veliidae,1
5,Lopinot d,Insecta Odonata Calopterygidae,3
5,Lopinot d,Insecta Odonata Coenagrionidae,23
5,Lopinot d,Insecta Odonata Libellulidae,50
5,Lopinot d,Insecta Plecoptera Perlidae,5
5,Lopinot d,Insecta Trichoptera Glossosomatidae,256
5,Lopinot d,Insecta Trichoptera Helicopsychidae,1
5,Lopinot d,Insecta Trichoptera Hydropsychidae,33
5,Lopinot d,Insecta Trichoptera Hydroptilidae,2
5,Lopinot d,Insecta Trichoptera Philopotamidae,15
5,Lopinot d,Turbellaria Turbellaria,2
6,Lopinot d,Insecta Coleoptera Elmidae,45
6,Lopinot d,Insecta Coleoptera Psephenidae,118
6,Lopinot d,Insecta Coleoptera unknown,2
6,Lopinot d,Insecta Diptera Chironomidae,5
6,Lopinot d,Insecta Diptera Simuliidae,10
6,Lopinot d,Insecta Ephemeroptera Baetidae,10
6,Lopinot d,Insecta Ephemeroptera Euthyplocidae,1
6,Lopinot d,Insecta Ephemeroptera Leptophlebiidae,13
6,Lopinot d,Insecta Ephemeroptera Tricorythidae,304
6,Lopinot d,Insecta Hemiptera Veliidae,3
6,Lopinot d,Insecta Odonata Calopterygidae,6
6,Lopinot d,Insecta Odonata Coenagrionidae,17
6,Lopinot d,Insecta Odonata Libellulidae,82
6,Lopinot d,Insecta Plecoptera Perlidae,4
6,Lopinot d,Insecta Trichoptera Calomoceratidae,1
6,Lopinot d,Insecta Trichoptera Glossosomatidae,103
6,Lopinot d,Insecta Trichoptera Helicopsychidae,56
6,Lopinot d,Insecta Trichoptera Hydropsychidae,43
6,Lopinot d,Insecta Trichoptera Hydroptilidae,36
6,Lopinot d,Insecta Trichoptera Leptoceridae,20
6,Lopinot d,Insecta Trichoptera Philopotamidae,3
6,Lopinot d,Oligochaeta unknown,3
6,Lopinot d,Turbellaria Turbellaria,9
7,Lopinot d,Insecta Coleoptera Elmidae,12
7,Lopinot d,Insecta Coleoptera Psephenidae,45
7,Lopinot d,Insecta Coleoptera unknown,15
7,Lopinot d,Insecta Diptera Chironomidae,52
